ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
312-11-4067|2706999386774968|Elizabeth|Oliver|F|34123 Andrea Estate|Lindon|UT|84042|40.3412|-111.7144|10094|Accountant, chartered|2000-02-24|495675808653|young_adults_female_urban.json
482-38-0535|4471349361831|Maria|Kerr|F|02499 Gonzales Mountain|Hendersonville|TN|37075|36.3054|-86.6072|59256|Industrial buyer|1977-03-15|445386964769|adults_2550_female_urban.json
513-70-8091|30190659401395|Kevin|Smith|M|027 Moon Falls Suite 717|Phoenix|AZ|85041|33.3889|-112.0954|1312922|Magazine features editor|1987-04-06|366826061886|adults_2550_male_urban.json
687-14-2635|377468071545168|Sean|Bryan|M|876 Jacob Lake|Savannah|GA|31419|31.9959|-81.2358|236823|Writer|1977-12-03|548709745211|adults_2550_male_urban.json
453-98-0846|4824771093241|Krista|Tran|F|17127 Hicks Groves|Pittsburgh|PA|15202|40.5053|-80.0685|687276|Pathologist|1994-04-12|531866089440|adults_2550_female_urban.json
250-59-9032|4398214658404495|Lauren|Keller|F|8755 Gibson Islands|Tampa|FL|33614|28.0091|-82.5034|717255|Energy engineer|2003-01-25|768716573635|young_adults_female_urban.json
586-50-3827|6011576627028957|Sheila|Sawyer|F|87026 Charles Tunnel Suite 596|Springfield|OH|45502|39.9172|-83.8546|101826|Catering manager|1967-02-15|364435556959|adults_50up_female_urban.json
880-69-6227|378091343161173|Christopher|Evans|M|50455 Thomas Pines|Monterey Park|CA|91755|34.048|-118.115|60238|Paramedic|1961-12-11|749754952027|adults_50up_male_urban.json
175-23-1294|3593792374740743|Megan|Moore|F|9464 Bruce Flat Suite 713|Mechanicville|NY|12118|42.9168|-73.7214|13897|Museum/gallery curator|1954-02-15|393298413208|adults_50up_female_urban.json
303-90-4838|676364090974|Ross|Leach|M|533 Byrd Stravenue|Casper|WY|82604|42.8261|-106.3896|69012|Copywriter, advertising|1964-07-23|105777520189|adults_50up_male_urban.json
662-06-5062|30095214562328|Richard|Walter|M|842 Sloan Orchard Suite 517|Madison|WI|53719|43.0321|-89.4993|272940|Call centre manager|1927-05-07|829533234908|adults_50up_male_urban.json
881-87-6512|180016048175499|James|Little|M|37098 Herman Forges Apt. 746|Spruce Pine|NC|28777|35.906|-82.0705|10638|Commercial horticulturist|1980-09-04|47844977968|adults_2550_male_urban.json
312-64-1903|2248267586926175|Luis|Crosby|M|53773 Garcia Spur Suite 850|Spencer|NC|28159|35.6917|-80.4327|3108|Occupational therapist|1986-04-07|207343331995|adults_2550_male_urban.json
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Mandeville|LA|70448|30.3666|-90.0487|46234|Agricultural engineer|1989-02-27|13450992449|adults_2550_female_urban.json
809-31-9648|342402681177585|Kevin|Hayes|M|084 Schneider Burgs|Schuylkill Haven|PA|17972|40.6306|-76.17|11627|Biochemist, clinical|1997-03-10|528274907582|adults_2550_male_urban.json
437-88-1769|38115921249985|Michael|James|M|8961 Melissa Run Apt. 673|Highland|NY|12528|41.7167|-73.9928|13344|Patent attorney|1971-08-31|907693799652|adults_50up_male_urban.json
409-54-1558|375452711116152|Robert|Hawkins|M|165 Parrish Stravenue Apt. 494|Fort Lauderdale|FL|33321|26.212|-80.2696|711693|Management consultant|1986-06-06|631805153549|adults_2550_male_urban.json
218-20-7901|4585149368991|Megan|Hawkins|F|24455 Howard Divide Suite 120|Horsham|PA|19044|40.1821|-75.1479|15853|Chemist, analytical|1961-04-06|583025110578|adults_50up_female_urban.json
386-54-7433|345459910229014|Denise|Stanley|F|764 Kari Crescent Suite 614|Miami|FL|33125|25.7825|-80.2341|1737737|Therapist, horticultural|1970-04-27|577615689420|adults_50up_female_urban.json
316-06-3613|6011034324451072|Paul|Thompson|M|388 Jones Wall Apt. 607|Charleston|SC|29406|32.9352|-80.0325|195110|Careers adviser|1973-09-12|347300118003|adults_2550_male_urban.json
440-74-6627|3541605297516136|Jeffrey|Morales|M|4535 Charles Roads|Lutz|FL|33558|28.1474|-82.5152|57430|Clothing/textile technologist|1995-08-04|560624678846|adults_2550_male_urban.json
795-45-5753|3531243292127790|Peter|Cole|M|527 Taylor Roads Suite 490|Laredo|TX|78041|27.5569|-99.4907|248858|Management consultant|1976-08-06|79488406665|adults_2550_male_urban.json
473-58-0617|584119986795|Kristen|Conner|F|9359 Mason Circle|Hayti|MO|63851|36.2589|-89.7172|4225|Production designer, theatre/television/film|1996-07-24|889502767451|adults_2550_female_urban.json
732-11-8267|4037788925546656|Meghan|Williams|F|51864 Cummings Shoals Apt. 519|Glendora|CA|91741|34.1537|-117.8437|51180|Counsellor|1960-09-08|386189485379|adults_50up_female_urban.json
672-90-6422|4486528168505423|Trevor|Peterson|M|32214 William Plains Apt. 592|Katy|TX|77449|29.8323|-95.736|250975|Therapist, speech and language|1978-07-22|169121724065|adults_2550_male_urban.json
186-89-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Webster|FL|33597|28.549|-82.0805|8026|Associate Professor|1981-07-09|531034820387|adults_2550_male_urban.json
568-14-8453|2261247826137504|Jennifer|Sanders|F|61530 Galvan Villages Suite 220|Grand Rapids|MI|49548|42.8697|-85.6628|375580|Historic buildings inspector/conservation officer|1979-08-18|914473253283|adults_2550_female_urban.json
713-18-7686|30010432898610|Ricardo|Young|M|36971 Mary Parks|San Antonio|TX|78250|29.5054|-98.6688|1595797|Therapist, speech and language|1963-01-28|19482202674|adults_50up_male_urban.json
528-74-3964|3546095396218518|Tiffany|Stephens|F|7065 Burgess Knolls|La Fayette|NY|13084|42.891|-76.1061|4409|Broadcast journalist|1964-07-02|263473920508|adults_50up_female_urban.json
644-14-9534|3520585277221706|Elaine|Williams|F|54868 King Terrace|Chicago|IL|60609|41.8097|-87.6533|2680484|Engineer, aeronautical|1950-05-11|392070860877|adults_50up_female_urban.json
887-84-5439|4566765277584161694|Whitney|White|F|1154 Griffin Stravenue Suite 275|Chicago|IL|60618|41.9464|-87.7042|2680484|Product manager|1937-08-17|799045831074|adults_50up_female_urban.json
630-56-4499|4165820297021358|Heidi|Herring|F|275 Wallace Club|Sault Sainte Marie|MI|49783|46.4151|-84.2854|19668|Teacher, secondary school|1964-12-30|580411980930|adults_50up_female_urban.json
408-41-4567|4027868144733|Zachary|Mitchell|M|12172 Osborn Valleys Suite 518|Dyersburg|TN|38024|36.0444|-89.3836|27406|Special effects artist|1979-06-26|980499639968|adults_2550_male_urban.json
872-21-2853|341323705895781|Beverly|Henson|F|6786 Morrow Cliffs|Dalton|GA|30721|34.7792|-84.9339|80496|Comptroller|1945-03-16|352068690122|adults_50up_female_urban.json
076-58-7633|4289226801824223|Erica|Fletcher|F|414 Cynthia Plaza Suite 249|Klondike|TX|75448|33.3034|-95.8018|655|Social research officer, government|2000-11-08|550157085827|young_adults_female_rural.json
173-76-9514|4995900109439695|Margaret|Jimenez|F|473 Evans Cliffs Apt. 276|Cleveland|OH|44109|41.4458|-81.7033|769341|Radio broadcast assistant|1958-10-22|225333063288|adults_50up_female_urban.json
622-19-5122|3556258815371477|Danielle|Davis|F|9632 Peck Stravenue Suite 327|Oakley|CA|94561|37.994|-121.7036|36515|Scientist, biomedical|1966-07-29|547465802270|adults_50up_female_urban.json
510-03-1476|6533950047974802|Sarah|Jordan|F|565 Richard Port Apt. 584|Bloomfield Hills|MI|48304|42.587|-83.2359|45496|Buyer, retail|2003-07-01|555710136742|young_adults_female_urban.json
783-71-4583|3521655852398689|Andrew|Williams|M|8729 Mark Ridge Suite 269|Joshua|TX|76058|32.4663|-97.4011|17123|Hydrographic surveyor|1970-04-28|371917215429|adults_50up_male_urban.json
849-66-8722|30470551694093|Karen|Coffey|F|097 Alexandria Stravenue|Marietta|GA|30066|34.0378|-84.5038|302309|Water quality scientist|1996-04-05|926744876615|adults_2550_female_urban.json
152-88-3969|676213075622|Jason|Harris|M|028 Ann Shore Suite 865|Anaheim|CA|92804|33.8186|-117.9729|354475|Early years teacher|1993-12-07|375951918053|adults_2550_male_urban.json
363-87-4332|3533484344375759|Kristina|Michael|F|1986 Cardenas Trail Apt. 404|Tahlequah|OK|74464|35.9094|-94.9787|30111|Careers information officer|1959-08-02|719159529356|adults_50up_female_urban.json
766-62-3506|4842199330839|Margaret|Williams|F|7120 Richard Wells Suite 734|Greenville|SC|29615|34.8661|-82.3198|201862|IT sales professional|1992-09-21|709895453406|adults_2550_female_urban.json
788-12-9407|4262067240046|Laura|Rodriguez|F|7887 Melissa Mountain Suite 315|Boynton Beach|FL|33426|26.5175|-80.0834|155385|Designer, textile|1962-01-05|505651306822|adults_50up_female_urban.json
264-92-3051|060454932967|Ronald|Robertson|M|1227 Boyle Avenue|Phoenix|AZ|85003|33.4511|-112.0774|1312922|Games developer|2000-01-21|259345477235|young_adults_male_urban.json
772-35-5401|4453017426841459337|Tyler|Mendoza|M|956 Todd Unions Apt. 391|Lewisville|TX|75067|33.0198|-96.9925|109212|Secondary school teacher|1954-03-14|581739352909|adults_50up_male_urban.json
080-73-1839|676183982252|Sarah|Ramos|F|971 Stokes Motorway|Tacoma|WA|98466|47.228|-122.5396|323239|Consulting civil engineer|2001-04-23|457470916067|young_adults_female_urban.json
578-08-9156|30406403910659|Michael|Weaver|M|70462 Katie Stream|Visalia|CA|93291|36.3551|-119.301|142488|Petroleum engineer|1960-07-17|420440076410|adults_50up_male_urban.json
891-49-6155|2702512868230047|Joel|Ball|M|633 Reed Harbor Apt. 106|Mableton|GA|30126|33.8332|-84.6031|37088|Volunteer coordinator|1979-04-06|978753281962|adults_2550_male_urban.json
247-27-1103|2720079030673833|Paul|Parsons|M|439 Ray Trail|Alhambra|CA|91801|34.0914|-118.1293|83057|IT sales professional|1998-07-13|331729976873|young_adults_male_urban.json
677-67-3622|6540892687056857|Michael|Russell|M|2873 Kevin Station Apt. 708|Center Conway|NH|03813|43.9878|-71.0607|3250|Passenger transport manager|1940-11-15|459423143415|adults_50up_male_urban.json
543-18-6364|4351751830467|Megan|Morrison|F|98373 Turner Bridge|Ballwin|MO|63011|38.6091|-90.5598|92608|Engineer, mining|1965-12-17|210183500752|adults_50up_female_urban.json
765-97-7847|4638546785448|Ian|Andrade|M|75355 Williams Way Apt. 204|Windermere|FL|34786|28.5006|-81.5354|28092|Surgeon|1973-12-28|643964883225|adults_2550_male_urban.json
738-54-4837|4536937854777255|Caroline|Cortez|F|80801 Kathy Loop Apt. 312|Windom|KS|67491|38.3845|-97.8965|399|Acupuncturist|1961-09-15|554990175020|adults_50up_female_rural.json
383-08-7917|4008860084840868|Renee|Browning|F|82339 Ochoa Grove|Swansea|SC|29160|33.7339|-81.0933|8255|Occupational psychologist|1992-07-08|408361278207|adults_2550_female_urban.json
471-73-3985|3541016668700210|Jonathan|Hamilton|M|180 Jason Ways Suite 401|Somerset|KY|42503|37.1566|-84.5248|40486|Health visitor|1975-10-24|600862968276|adults_2550_male_urban.json
674-05-2939|343926142939687|Gary|Campos|M|185 Connor Fort|Los Angeles|CA|90006|34.0493|-118.2917|2383912|Call centre manager|1993-03-05|662887798281|adults_2550_male_urban.json
610-51-5348|676347735869|Jeffrey|Frazier|M|94311 Moore Station Apt. 655|Hendersonville|TN|37075|36.3054|-86.6072|59256|Clinical biochemist|1954-11-19|4688044575|adults_50up_male_urban.json
456-47-4420|5512678886101586|Brandon|George|M|0466 Jenny Points Apt. 982|Phoenix|AZ|85009|33.4564|-112.1284|1312922|Museum/gallery conservator|1965-06-28|151051859836|adults_50up_male_urban.json
309-35-8080|4264647154379938|Jimmy|Taylor|M|5965 Cook Via|Oak Park|IL|60304|41.8725|-87.7877|51878|Therapist, music|1980-02-24|327002164659|adults_2550_male_urban.json
618-89-3291|30526547935641|Rose|Long|F|398 Erin Plaza|San Antonio|TX|78221|29.3309|-98.5054|1595797|Aid worker|1941-11-29|802957040689|adults_50up_female_urban.json
726-27-7184|4672434266179796888|Tammy|Kane|F|058 Daniel Gateway Suite 290|Hempstead|NY|11550|40.7049|-73.6176|59357|Surveyor, quantity|1948-09-15|712894168926|adults_50up_female_urban.json
663-52-5433|6011014388899374|Jacqueline|Ford|F|0714 Knapp Corner|Newburgh|NY|12550|41.5372|-74.0526|54447|Commercial art gallery manager|1973-01-19|157754796139|adults_50up_female_urban.json
320-44-7461|4571775140102|Sarah|Wong|F|382 Mark Meadow|East Sandwich|MA|02537|41.7283|-70.44|6293|Psychologist, counselling|1977-11-07|877169140360|adults_2550_female_urban.json
645-24-3054|4609379660334199|Brian|Wiggins|M|5371 Lambert Overpass|Roosevelt|NY|11575|40.6802|-73.5867|16272|Secretary, company|1975-10-12|704228248578|adults_2550_male_urban.json
612-50-6432|3555792499125131|Elizabeth|White|F|669 Bailey Manors|Cleveland|OH|44134|41.3853|-81.7044|769341|Electronics engineer|1966-08-30|697874934613|adults_50up_female_urban.json
711-83-2839|213174225790506|Kari|Lee|F|876 Perry Ville Suite 721|Fresno|CA|93720|36.8579|-119.7655|570271|Systems analyst|1933-04-14|872010906800|adults_50up_female_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Bronx|NY|10459|40.8247|-73.894|1382480|Firefighter|1988-07-03|959056357132|adults_2550_female_urban.json
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Algonquin|IL|60102|42.1641|-88.3064|32193|Paramedic|1963-02-04|68370591034|adults_50up_male_urban.json
888-84-2079|3532536729466718|Madeline|Beard|F|8457 Murphy Alley|Chico|CA|95973|39.8032|-121.8673|106193|Chief Financial Officer|1972-06-08|697753726506|adults_50up_female_urban.json
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|Enterprise|AL|36330|31.3408|-85.8421|35530|Phytotherapist|1976-08-06|999389892260|adults_2550_male_urban.json
667-39-2605|4541520643611037125|Linda|Stone|F|05162 Jones Lights Apt. 115|Houston|TX|77020|29.7758|-95.3121|2906700|Mental health nurse|1973-06-27|330201333423|adults_2550_female_urban.json
392-97-2182|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Mansfield|TX|76063|32.5773|-97.1416|61361|Health and safety inspector|1994-08-31|92962937500|adults_2550_female_urban.json
567-77-9831|3504389836403768|Ashley|Porter|F|055 Paul Villages|Anaheim|CA|92807|33.8544|-117.7858|354475|Teacher, adult education|1991-06-11|401239553647|adults_2550_female_urban.json
700-23-7718|5191043006848665|Mia|Miller|F|1418 Terri Drives|Conroe|TX|77301|30.3125|-95.4527|130233|Software engineer|1963-08-03|430900111440|adults_50up_female_urban.json
650-98-1084|4303161799042102026|Jon|Reed|M|52410 Roman Groves Apt. 491|Holly|MI|48442|42.7905|-83.6127|20669|Research scientist (maths)|1985-12-14|560300808050|adults_2550_male_urban.json
057-64-9288|4241913800030756|Janet|Hernandez|F|635 Robert Stravenue|Granite Bay|CA|95746|38.7435|-121.1897|21460|IT consultant|1989-04-02|907403143513|adults_2550_female_urban.json
586-48-1957|213123806174457|Angelica|Bryant|F|49493 Richardson Park Apt. 832|Elgin|IL|60120|42.0384|-88.2606|117295|Accounting technician|1980-08-25|450681215698|adults_2550_female_urban.json
239-70-5676|4506413836702411|Andrew|Hall|M|571 William Route Suite 199|Carlsbad|CA|92009|33.0954|-117.2619|105183|Biomedical engineer|1953-10-24|727717710246|adults_50up_male_urban.json
243-38-4277|375574313291214|Christopher|Owens|M|85374 Baker Crest Apt. 249|Mahomet|IL|61853|40.1964|-88.3928|13206|Architect|1959-06-12|915751541289|adults_50up_male_urban.json
152-12-4067|378044206788319|Joel|Lara|M|00323 Watson Roads|Detroit|MI|48209|42.3097|-83.1155|673342|Chartered accountant|1964-02-25|646746156066|adults_50up_male_urban.json
833-10-0358|2237215107029667|Jon|Reyes|M|53244 Stephenson Bypass Apt. 476|Louisville|KY|40291|38.1313|-85.5754|736284|Statistician|1997-10-21|66481931623|adults_2550_male_urban.json
287-50-2249|6011838065787597|Kathryn|Price|F|59304 Lindsey Mountains|The Colony|TX|75056|33.094|-96.8836|47852|Senior tax professional/tax inspector|1988-12-26|843348752593|adults_2550_female_urban.json
239-21-1641|4480396522393|Evan|Rojas|M|059 Anna Field Suite 842|Reno|NV|89502|39.4972|-119.7764|276896|Recycling officer|1935-11-14|98947300855|adults_50up_male_urban.json
239-78-3585|676170593252|Michelle|Sellers|F|02921 Yu Landing Suite 915|West Palm Beach|FL|33406|26.6396|-80.0827|459921|Immigration officer|1972-11-29|147414458291|adults_50up_female_urban.json
750-56-7983|4289539264422099|James|Gamble|M|95939 Sharon Divide|Clovis|NM|88101|34.4126|-103.2214|45006|Learning disability nurse|1933-05-11|84805603866|adults_50up_male_urban.json
356-41-2751|4570433154100676|Nicholas|Costa|M|6586 Maria Turnpike Apt. 271|Longview|TX|75604|32.5251|-94.799|102348|Analytical chemist|1940-02-05|22741459331|adults_50up_male_urban.json
268-14-1216|346218159970624|Lawrence|Hamilton|M|53368 Guerrero Hills|Belchertown|MA|01007|42.2751|-72.411|14649|Field seismologist|1943-11-04|51951563323|adults_50up_male_urban.json
586-71-8044|4506149731032419|John|Wilson|M|7418 Lopez Light Suite 270|Madelia|MN|56062|44.0499|-94.411|3208|General practice doctor|1961-05-14|512989778945|adults_50up_male_urban.json
232-35-9245|503811586935|Juan|Randall|M|793 Evans Locks Apt. 898|Daly City|CA|94015|37.6787|-122.478|107941|Teacher, music|1995-12-17|161577842715|adults_2550_male_urban.json
776-58-2833|4320616329451163|Kristie|Arnold|F|709 Rodriguez Drive Apt. 999|Bastrop|LA|71220|32.7894|-91.9078|23266|Chiropodist|1965-02-03|119936653222|adults_50up_female_urban.json
799-13-4688|180064679970242|Jennifer|Montgomery|F|65307 Prince Brooks Suite 444|Estancia|NM|87016|34.77|-106.135|3730|Regulatory affairs officer|1942-02-22|768190268997|adults_50up_female_urban.json
890-30-2202|4546913736785082143|Michael|Powell|M|33030 Williams Lake|Welch|WV|24801|37.4|-81.5344|3858|Engineer, civil (contracting)|1991-05-05|404903650217|adults_2550_male_urban.json
518-51-2030|4357972798552411|Dustin|Hughes|M|333 Joseph Lodge|Magnolia|TX|77354|30.2333|-95.5502|54225|Scientific laboratory technician|1966-10-18|949273896633|adults_50up_male_urban.json
486-17-2838|3534944665743744|Michael|Holloway|M|108 Hoffman Ranch Suite 417|Cumming|GA|30041|34.2037|-84.1031|129584|Bonds trader|1996-04-20|701267155766|adults_2550_male_urban.json
883-36-4279|4328309652074461|Jared|Doyle|M|3875 Bruce Ville|Sallisaw|OK|74955|35.4852|-94.779|15344|Surveyor, insurance|1968-01-23|322900519786|adults_50up_male_urban.json
483-17-4238|3551353465549475|Sarah|Ruiz|F|3816 Gutierrez Ways|Chillicothe|OH|45601|39.338|-82.9895|57842|Dentist|1993-04-27|374522422066|adults_2550_female_urban.json
584-59-2347|341752500743293|Phillip|Burns|M|96666 Reyes Camp|La Moille|IL|61330|41.5376|-89.297|1483|Social research officer, government|1955-12-03|804015362037|adults_50up_male_rural.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Hondo|NM|88336|33.7397|-105.6294|267|Emergency planning/management officer|1984-09-10|445869180665|adults_2550_male_rural.json
234-29-2150|4982150648900|Kirk|Williams|M|001 Wallace Crossing|Los Angeles|CA|90004|34.0762|-118.3029|2383912|Sports development officer|1961-08-25|520776545528|adults_50up_male_urban.json
211-89-0153|4184992618914117392|Christina|Baker|F|6420 Lozano Spurs|Ore City|TX|75683|32.7856|-94.7514|3914|Quarry manager|1987-03-17|259117969489|adults_2550_female_urban.json
014-86-1459|2717218114374471|Amber|Li|F|5561 Melissa Cape|Apopka|FL|32712|28.712|-81.5136|87976|Acupuncturist|1998-02-04|153983162030|adults_2550_female_urban.json
663-22-5385|379415521667462|Melissa|Mendoza|F|212 Tina Vista Apt. 169|Burke|VA|22015|38.7894|-77.2818|43102|Radiation protection practitioner|1993-07-27|626215958920|adults_2550_female_urban.json
449-24-6222|342771670145088|Patricia|Ray|F|588 Ryan Stream|Billings|MT|59102|45.7813|-108.5727|128125|Fish farm manager|1969-01-30|380026994241|adults_50up_female_urban.json
693-83-6306|4028772175354087|Courtney|Schneider|F|17797 Melissa Mission Suite 170|Woodside|NY|11377|40.745|-73.9069|89830|Civil engineer, contracting|1979-08-01|452704326218|adults_2550_female_urban.json
571-71-0003|2720948837550370|Evelyn|Saunders|F|571 Katherine Forges Apt. 554|Red Oak|IA|51566|41.0079|-95.2269|7035|Sports development officer|1967-03-21|410263801993|adults_50up_female_urban.json
047-22-8068|4149331637351605|Timothy|Monroe|M|7982 Smith Street|Las Vegas|NV|89108|36.2044|-115.2233|1417793|Art therapist|1976-08-14|920981907761|adults_2550_male_urban.json
495-66-2904|3521699586693460|Victor|Waller|M|26984 Joseph Plaza Apt. 339|Troy|MI|48083|42.5597|-83.1138|80980|Horticultural therapist|1945-11-28|380906095118|adults_50up_male_urban.json
136-91-2914|180015879968469|Robert|Mills|M|2003 Christensen Estates|Hawthorne|CA|90250|33.9143|-118.3493|93193|Historic buildings inspector/conservation officer|1968-11-16|277813046063|adults_50up_male_urban.json
860-08-4836|4571983863842|Melissa|Williams|F|6580 Julia Flats Suite 359|Natchez|MS|39120|31.5492|-91.3642|32334|Sports coach|1981-12-24|664596582306|adults_2550_female_urban.json
795-93-3171|4212281606484229407|Gary|Mckinney|M|25909 Henry Ports|Keller|VA|23401|37.5966|-75.7893|212|Statistician|1959-09-07|78847377226|adults_50up_male_rural.json
539-29-3013|213182688615334|Matthew|Rivera|M|98780 Elizabeth Mission Apt. 993|Saint Clair Shores|MI|48081|42.4941|-82.899|59678|Archaeologist|1969-10-25|973594144668|adults_50up_male_urban.json
391-15-6323|4085887704358112888|Adam|Jones|M|613 Lucas Cliffs|Vinemont|AL|35179|34.2621|-86.9125|8958|Designer, exhibition/display|1937-12-02|502613191745|adults_50up_male_urban.json
039-12-1201|503848193465|Jasmine|Mccoy|F|0618 Darlene River Apt. 901|Emmitsburg|MD|21727|39.694|-77.3357|5850|Materials engineer|1934-04-15|553741748619|adults_50up_female_urban.json
297-88-4938|3547660728326849|Toni|Thomas|F|88210 Ashley Lock Apt. 435|Conyers|GA|30013|33.6436|-83.9684|83685|Engineer, mining|1986-08-12|993909782929|adults_2550_female_urban.json
872-66-2334|4394312908781417|David|Gonzalez|M|5231 Harvey Fields Suite 775|Arlington|VA|22201|38.8871|-77.0932|207410|Warehouse manager|1999-12-23|337839646089|young_adults_male_urban.json
157-73-9288|376205336452579|Julie|Howard|F|8129 Meagan Walks Apt. 834|Placitas|NM|87043|35.3092|-106.5293|5052|Camera operator|1933-11-16|84728646799|adults_50up_female_urban.json
870-65-0512|3593084887256395|Morgan|Carter|F|816 Shaw Shore Apt. 928|Moundsville|WV|26041|39.9148|-80.731|16183|Counselling psychologist|1987-08-19|173715194068|adults_2550_female_urban.json
